title,link,price,seller,condition,site_code,preco,avaliacao_media,ratio_5_to_1,estrelas_5,estrelas_1
Título não encontrado,https://www.mercadolivre.com.br/kit-cartucho-60-preto-e-60-color-hp-f4280-f4580-c4780-d110a/p/MLB36970133#polycard_client=search-nordic&searchVariation=MLB36970133&wid=MLB3785151963&position=29&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,195,4.8,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-de-tinta-magenta-hp-951xl-cn047al-c/p/MLB40535160#polycard_client=search-nordic&searchVariation=MLB40535160&wid=MLB5331796960&position=32&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,229,0.0,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-hp-667-colorido-3ym78ab/p/MLB22658653#polycard_client=search-nordic&searchVariation=MLB22658653&wid=MLB3897978171&position=42&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,71,4.7,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-tinta-tricolor-667-hp/p/MLB22546333#polycard_client=search-nordic&searchVariation=MLB22546333&wid=MLB3947220255&position=36&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,73,4.7,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/4-cartucho-p-8100-8620-8610-8600w-251dw-8600-251/p/MLB39015732#polycard_client=search-nordic&searchVariation=MLB39015732&wid=MLB5177150620&position=23&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,249,4.0,0,0,0
Título não encontrado,https://produto.mercadolivre.com.br/MLB-2648423337-kit-04-cartuchos-670xl-para-hp-3525-4615-4625-5525-bkycm-_JM#polycard_client=search-nordic&position=48&search_layout=grid&type=item&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&wid=MLB2648423337&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,61,4.7,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-amarelo-hp-964-700-paginas/p/MLB22536173#polycard_client=search-nordic&searchVariation=MLB22536173&wid=MLB3713350859&position=35&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,164,0.0,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-hp-667-667xl-deskjet-2776-preto/p/MLB22843608#polycard_client=search-nordic&searchVariation=MLB22843608&wid=MLB3972346583&position=30&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,147,4.3,0,0,0
Título não encontrado,https://produto.mercadolivre.com.br/MLB-1953458246-kit-cartuchos-hp-667-preto-color-2374-a-2376-2775-2776-6475-_JM#polycard_client=search-nordic&position=49&search_layout=grid&type=item&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&wid=MLB1953458246&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,181,4.7,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-4s6x5pl-cor-ciano/p/MLB39003394#polycard_client=search-nordic&searchVariation=MLB39003394&wid=MLB5176907662&position=39&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,249,0.0,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/tinta-de-impressora-preta-hp-designjet-cz129a-de-38-ml-color-negro/p/MLB21968416#polycard_client=search-nordic&searchVariation=MLB21968416&wid=MLB4754962242&position=40&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,362,0.0,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/hp-62xl-preto-e-62xl-tricolor/p/MLB7917645#polycard_client=search-nordic&searchVariation=MLB7917645&wid=MLB4822599730&position=41&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,899,0.0,0,0,0
Título não encontrado,https://produto.mercadolivre.com.br/MLB-1709413411-cartucho-hp-original-51604a-bk-impressoras-cheques-pertochek-_JM#polycard_client=search-nordic&position=50&search_layout=grid&type=item&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&wid=MLB1709413411&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,192,4.9,0,0,0
